"Time";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18"
2018-01-01 00:00:00;121483,881946115;15063,6912820089;48659,1999759655;38340,2087121685;36853,1230280817;22481,6560085014;25379,8686268601;46769,7543690762;19430,0806890064;230629,450006782;64673,3163265585;23205,9947152967;32158,5701701189;56522,4752127082;27040,9161327944;81045,1813176888;27234,4381899982;15689,6225503599
2018-01-01 01:00:00;121662,348910322;15246,7157550762;49506,3655182569;37925,0522308258;36666,6282457606;18709,7341236923;25151,9482221995;44355,8015140515;18739,1245247739;232096,934237182;64995,940337637;23752,1126569374;32142,7497779958;58466,8760449334;25821,3587413621;80044,5688394767;26885,1306227437;16076,3382848205
2018-01-01 02:00:00;122048,125156853;15372,7883458721;50884,3657163278;37752,1506687932;37042,6790192754;16965,6536002659;25109,2961780711;42534,5691880642;18341,9937550569;236371,186342115;64254,3761734573;23940,0683913731;30837,9056464043;60183,6579406562;25284,3075147413;79790,8724051105;27091,7558169167;16036,8547999894
2018-01-01 03:00:00;122703,504835309;15717,0040060591;51545,6165682721;37036,9204440723;37002,1484533384;16773,5119066312;25214,020333911;42076,4257862162;18221,1335543989;239913,156599513;64843,8250476981;23894,2418038307;30203,8416160191;63491,3236518065;25257,5153025638;78790,0985831905;27277,9200351486;16380,716732236
2018-01-01 04:00:00;124764,641565956;16386,7428553452;57763,1252253657;36766,4399541861;37851,3856961686;18984,2836729175;27187,003821833;41461,4938400054;18376,5731238987;251852,963254264;64929,5996300471;24073,5130491757;30122,0589131117;67718,0788633572;25481,9463964264;79944,1731946033;27763,8417820901;16701,4721083318
2018-01-01 05:00:00;132168,1303732;18349,4858506775;68134,115291921;38119,3618700783;40375,9010384719;26628,4687804505;29411,1736283995;43555,0329346547;19379,178149367;273157,226204379;65318,8448713677;24914,0389335308;31165,1522909592;72815,8629281202;26110,71217672;82593,4987874469;29092,9325149021;17608,3835179556
2018-01-01 06:00:00;139808,691432354;21842,6876646868;80965,3902198013;40593,9437657485;42497,5749309557;33327,8669747547;31971,7206011303;45993,5091190041;21470,613621345;295999,75865245;67881,008109355;25584,0721651318;31120,7812624928;74520,1502392656;21485,4102642436;91077,3779117812;31104,9721454721;17958,0336181037
2018-01-01 07:00:00;146619,618619241;26059,8348126878;85345,4808434405;42406,8833181625;45889,0404716367;39328,0981712893;33933,0325166094;49881,9355954282;24634,7970926161;309801,04016322;74036,6711045563;27348,2915110979;33247,0169834735;77414,8213996049;23561,881235522;106245,698928556;31971,0625280163;20110,0295906634
2018-01-01 08:00:00;152713,959727099;31944,4762419187;93037,5469061756;42413,4366377315;48963,3549988448;41487,2892692524;34482,4991872255;52207,3094113361;28137,8568621065;313067,797899716;80908,9353058119;28667,2366364795;37408,3950343011;78887,7220505045;24886,5305267492;118576,691259975;33587,061503554;20647,2409251568
2018-01-01 09:00:00;152538,890641635;34927,8448478731;96743,6841576613;42235,8937009;49064,3376611012;38995,3953123281;33271,6497661878;50582,3542538561;30110,6204664502;312493,907024467;86126,6714523229;28310,3127637888;38698,7008499027;79387,4751895098;23298,2245592026;122268,354110398;33517,0886256609;20187,2229566638
2018-01-01 10:00:00;151798,987889363;36449,6203394405;97077,4244912898;42200,6915166859;49251,6190285136;36503,5229346988;32015,6933773457;52245,5220701638;31068,0802689721;315915,025834393;88149,9074233072;27856,5183455978;38949,8179672579;80781,4037239167;24003,4895616165;120527,418827725;34169,8582878343;19662,119363082
2018-01-01 11:00:00;151776,555085096;36339,6761583703;98373,4598698906;41929,5780118958;49584,3798405863;35204,691192123;31954,0287493873;57947,2440412335;32810,7662523366;319400,24736476;87203,5911068254;28056,5321347725;37957,7146988751;81868,4625572085;27374,184127114;120637,523102826;34524,9870924928;19405,8563157717
2018-01-01 12:00:00;148518,580916927;32908,0965655505;93362,0527005484;40741,9002178964;47970,6546509896;33928,0980629381;31839,5786492892;57958,5744217006;35263,1207230456;316917,640240281;83400,906322795;27274,9498361444;38405,7162480648;81061,6763980736;27240,7217548466;113369,019176709;33404,5358321156;18160,5664468534
2018-01-01 13:00:00;147316,188659554;32221,2458287936;90460,6608143845;40724,2936867586;47187,7044029577;33042,6576568928;30723,0449238735;58041,6189227596;34642,2225586088;315062,836244737;82916,6620119413;26818,1758448499;36207,5187089575;80039,7849797338;27598,8530247096;114822,910636202;32616,3305710562;17814,0999171749
2018-01-01 14:00:00;147363,992648293;34419,6084061194;97548,3843133919;40174,151690142;46484,3502309247;33416,0529574201;30130,3950295439;58896,2503578437;32314,0985914778;316889,382520215;84180,0361153798;26420,3701329793;34105,3078239812;79457,4065392538;26356,8203201184;108511,65325513;32442,7142298044;17926,9789605162
2018-01-01 15:00:00;145350,093652615;33918,5760158747;97977,7781321876;39714,678118197;45830,3185995129;34911,3344368969;30138,5755421024;57704,0226745499;29616,2541471512;312168,592003165;83283,968203847;26060,9331896932;32437,8276235232;79431,2219462783;25647,6732768626;106398,730672025;32490,5036609168;17652,3082279148
2018-01-01 16:00:00;143879,057433051;33334,2306281299;96888,5979882293;39953,4972604078;45750,7249671054;36303,2663770102;30013,5254044995;54692,6829610749;28289,3057309714;307571,374809639;79500,3061800765;26139,3087247571;34436,1883931065;78749,7393725946;23247,5350723487;104845,686239967;32925,4648905179;17947,8365137322
2018-01-01 17:00:00;142100,452926694;33023,6109675262;98737,7398130126;41118,1706119392;46716,5317207679;37222,8994655105;31636,9370973913;51535,0831809961;29378,4464984558;304719,450947532;77180,9153433135;26231,5961339547;37056,957469659;77801,3711964811;24685,9498611949;105935,267438206;34298,7406323273;18297,7690690103
2018-01-01 18:00:00;139702,018217675;30530,9363870629;95431,7953208935;40439,8064337981;45456,457083364;36598,6721614155;32454,3034671063;46530,221263134;30104,9760502197;298708,094664564;75775,2486843037;24891,6450555103;38745,7807020309;76618,5463220735;22089,9903789553;102084,014419263;34150,0488874902;17757,2644324502
2018-01-01 19:00:00;138084,674890166;24702,7958722695;81895,469512625;39848,866472929;43156,1805867712;34410,9959414156;31793,9019126203;45877,1490991183;31175,762873344;294161,365359092;73469,7393641695;23702,194035516;39786,2530646556;75048,6176774226;21420,6004900789;98040,3995664224;32976,1833713844;16646,5374948353
2018-01-01 20:00:00;136495,993051496;19055,9644227903;63494,4652257098;38635,6363291476;40910,2450607779;31185,0158204248;30734,8956472209;51215,1611124177;30388,1543105068;290870,849939969;72286,0996735082;23052,2371895302;39549,1501258378;73572,6233796996;23206,4115254192;90145,8287474315;31052,091583027;16086,2834909567
2018-01-01 21:00:00;134350,986387199;16898,1082079641;55431,7750383264;38317,035867288;39594,8595369685;27410,0954774709;29525,630045551;49785,1444744585;28610,9926028424;281624,104297925;70351,8988730646;22434,5037354108;38157,5716996919;72371,3272158064;20471,6434220071;85482,389685888;29722,128823099;15409,5262726106
2018-01-01 22:00:00;133084,800512215;16168,9431128865;53495,5738915419;38667,3959109058;39032,0048455443;25942,0757744018;28867,5843505532;53369,5970971103;25041,229421267;279532,483025333;70906,1245142455;22388,1969528609;41134,7929392497;71835,3412852783;28142,9251349924;83646,4149474091;26642,6012040251;16197,1748866254
2018-01-01 23:00:00;133050,560752964;15763,0971062791;52188,215224274;38530,6262689473;38146,6363092695;24775,9446697481;26922,2938521861;51861,5770142534;21396,7159411251;272026,955424729;70648,2727881586;22426,3701649712;36916,2943896143;71736,4286914148;28823,9292862695;82105,9169471682;28205,2545013981;15524,454481329
2018-01-02 00:00:00;132299,834784834;15377,5270459032;52005,7786036976;38039,0974345585;37783,303907873;23222,3909730547;25306,1887698392;50752,360088679;19154,7354565237;267937,15622654;70452,2480082919;22480,8377370785;34932,489006082;71967,8997795642;27283,2133758989;80931,1819799905;27491,4284203032;15560,7144507704
2018-01-02 01:00:00;132317,042039022;15469,0739844057;52901,8217624243;37806,9623497625;37503,0750294073;19784,503562698;24789,4267974098;49172,0624757645;18621,0795786276;266351,844382805;69421,1095299022;22267,6414106953;33277,6611843518;73168,3111700317;26467,4300416717;80520,9503351336;26908,8592506209;15878,6686415526
2018-01-02 02:00:00;132431,630007362;15467,4775705185;53483,4616406746;37269,2628331202;37238,648437691;18244,9290322486;24706,8356507648;48529,7104460319;17968,2365500004;269938,209207267;69391,9842295295;22687,1643612461;32100,1087324345;74363,2785834545;25600,4083351235;79611,9472733617;26722,6736369718;15849,8619236936
2018-01-02 03:00:00;132666,330777241;15579,2296917527;54256,0875738517;36741,1329245196;37750,9657446887;18142,6331108127;25153,0926880484;47044,1191577541;17168,030341627;271434,83822014;68928,8802614389;22530,5151122554;30685,6332176881;75982,1292619624;24834,3257663636;79144,9114492186;26869,0236126433;16230,0343192646
2018-01-02 04:00:00;133538,803133032;15947,4483649258;59952,6756311962;36554,8502803595;38179,221542973;20099,000251662;26703,3841517874;46109,7210056495;18007,6538702342;280208,383287063;67932,7828192674;23042,558744259;30845,20165344;78886,3262684839;24853,0483616919;79238,9808552585;27140,4299317201;16759,5430005484
2018-01-02 05:00:00;138530,12293373;17667,989699264;69294,1599154047;37342,1020773897;39867,914245951;26677,2410508493;28916,2372414634;45602,6003216394;18945,6850800899;295438,633095435;67821,3840976525;23574,8615922708;31900,1867406063;81160,1874963651;25220,8000486454;82772,8311959546;28025,5102672564;17639,3618596696
2018-01-02 06:00:00;144049,903022005;21119,5054334803;82953,9374895466;39781,8517393145;42874,9994772963;32856,4131295105;31276,1415545371;47729,4399660557;20823,9068099867;311458,509451228;71584,3043453175;24329,6782867957;31039,7631791538;82504,5715437011;21755,8535139707;91541,776960606;30328,175042502;17835,484787887
2018-01-02 07:00:00;149738,502492278;25916,0189334966;87461,5524970364;41835,4517898204;46396,7885143209;38494,2354989666;33288,0414437693;51073,5382141082;24190,7989596812;320010,133750473;76879,4354543276;26852,7359185658;32486,0223289731;83448,2180349598;23105,7970018353;106118,891751439;30960,2897871641;19537,9137980422
2018-01-02 08:00:00;154434,003858431;31728,3267050999;94839,9248972407;42220,5269885927;48657,823480906;40578,0681695499;34134,4499578666;52448,3129844932;27427,3416390815;321989,370383758;85581,4116053978;28166,3016256369;35943,800442005;84042,0509767058;24889,7191672543;118157,455718424;33130,1656741241;20530,3831475692
2018-01-02 09:00:00;153256,620995709;35235,3286583659;98860,4904789876;41573,0047593342;49106,8663219373;37630,6988824292;33280,2954043349;51653,806555415;29870,4691062162;317776,33361788;89710,7810613116;28119,9072487751;38965,1509986873;83419,9666093924;22867,0329240581;121904,227958146;33805,5962966692;20379,1299637017
2018-01-02 10:00:00;153428,53307541;37152,3473991885;99016,9702088701;41639,0960560476;49545,2416648908;36217,9951142894;32242,8703704929;53102,1085377683;32017,2031648343;322397,789370807;92035,5383452318;27911,3605350184;40490,1517125843;82939,4459320705;23585,1487884237;119243,344987617;34328,2543902749;19823,5633664749
2018-01-02 11:00:00;152636,877229015;36827,1567150505;100016,081325825;41397,8865663692;49456,6599394577;34843,5527561855;31827,3152787387;58484,5917113456;33104,5952844319;323133,962677045;89416,5789552227;28134,1927917336;39328,8134000545;83424,3988600671;26363,1938923973;120148,872008228;34707,0435753118;19657,0775927333
2018-01-02 12:00:00;149855,218762788;33225,8868188994;94406,2322786876;40629,3888752055;47929,4952754087;33211,1459653005;31834,6974966013;58231,888934839;35736,1683340197;317490,546401082;88714,8906325321;26949,1057796317;40221,6223997128;83058,6545661837;27219,87361291;113155,198045219;33446,8965337462;18063,5208827421
2018-01-02 13:00:00;147884,335835823;32340,4567171983;90546,5458443165;40308,1452769971;47390,0364134751;32633,6711878253;30893,4613169678;59463,1674932914;35062,8993183522;318601,3482081;86464,6870626408;26477,0765125805;37486,9819920903;81352,1890907325;27541,9154849559;113595,174026277;32879,3154865942;17681,4860221703
2018-01-02 14:00:00;148179,63048818;34906,5619073587;98885,1657348883;40070,0937772023;47228,8490061178;33085,0403893045;30368,9308598977;58942,4336746342;31938,8772168351;320469,982935451;88133,5067608099;26268,2201719021;35208,1991466677;80995,4646276201;26269,8943200139;107099,805072089;32343,7321886045;17764,8868236104
2018-01-02 15:00:00;147427,731691554;34518,0630918105;99109,9572098444;39433,6711913265;46338,4099644417;33795,4551957891;30233,8549008304;56910,7272040597;29101,0632694786;313052,438225177;84494,2741930512;25888,1384896295;34116,3533732207;80289,5203984998;24936,9724272952;103874,177537965;32312,1036882242;18018,8939679655
2018-01-02 16:00:00;144910,789852482;33816,5919115432;97620,0688207117;39664,442838949;46741,6304112705;35537,9126876829;30012,0147328751;53920,2187264836;27862,7095146811;307987,78945287;80720,9830421973;26305,8448831199;36080,3121550622;79139,4215263693;24726,0808923071;103328,575516094;32691,7505437278;18252,3970756361
2018-01-02 17:00:00;143058,368544831;33080,8177149266;99382,1199669917;40654,6449918585;47737,482273101;36604,3276210064;31870,098084918;51851,8335657248;28843,5954681315;306969,246892426;78024,9403260831;25971,6179885092;37586,807741743;78371,8197774386;25152,2680282592;105677,709108655;33775,7238440185;18920,2580748418
2018-01-02 18:00:00;141039,111858604;30382,4283436451;96308,5237033926;40474,524736424;45855,5453247689;36888,2365833785;32528,589927101;47218,5620202472;30332,4474872654;300275,556796422;76218,4430881642;24920,7245865097;39989,7279913249;77499,3947947524;22261,0003775054;101427,83329052;33548,3311245196;18203,6564788813
2018-01-02 19:00:00;139281,689698774;25048,649807457;82969,5145038682;39485,9544388189;43539,6738518015;34662,6512740619;32008,3974131672;45866,9378223948;31821,4726130075;290822,834133517;75374,8067166074;23808,3474566885;41146,9343262637;74943,0685934848;21506,1170213304;97673,8508839814;32827,3114057344;16984,9590125523
2018-01-02 20:00:00;137750,13656953;19093,2864759938;63903,1257269817;38760,9260780706;41883,669266352;31774,9016098006;30993,4996275732;51032,2819460572;31223,8611349664;275760,344151858;74732,5687629279;23438,2920819393;40145,7098242737;73371,175178261;23251,466226368;89899,2446221522;31794,5613312277;16273,7968185314
2018-01-02 21:00:00;135495,052449439;16790,4469519266;56014,5401605487;38375,0514009904;39570,8421796621;27889,6312187946;29720,4900795171;50607,5116835159;29240,5074619899;262662,496418183;73514,5841024029;23078,2523487097;39950,78936046;72257,218733224;21403,3353994976;85490,5759205459;29811,2526733925;15654,9921179156
