Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,208647.08609931965,13751.991154012945,57257.467184931,32112.924122714187,35906.291672664935,22930.74838925929,39403.00936064862,53188.64375344124,20211.05119740149,272119.34633906727,74682.55488564256,18269.92699812346,31005.671691614945,76427.47448847395,17529.269806114145,79306.77050895191,18838.450341545482,18437.156296794274
1,206858.01611861106,13408.315290793462,56413.15431660629,31407.912732918754,35246.257327255706,19116.205676404068,37429.571479864826,51256.13261877139,18770.77388285322,269428.85708752496,73200.24999538613,18151.94115640408,28780.136995856228,76933.99412863674,15097.611443396974,77484.13001049272,18207.24575321121,18023.484316982627
2,206257.58120676558,13165.08338263512,57065.518920915536,30594.423906276286,34809.169588999524,17127.017639339825,36521.61453621641,49646.11423507523,17811.666108036286,269254.76612466655,72156.90429033368,17870.071452526165,27068.48595632006,78841.82069095677,15320.828767020188,76175.68789067112,17704.35616839158,17745.4973604932
3,205763.0911024788,13069.898662956248,58189.78640443762,29744.356598507235,34552.32933446296,16450.306363408617,36370.6398048289,48333.888314494696,17322.789796402474,271694.52977217897,71645.49623971993,17740.137020567334,25804.200930927,81564.35098288239,14835.787628565258,75062.21228790066,17458.636255382142,17549.997542825564
4,207460.79648814924,13446.219287946458,60767.57169117737,29193.20988395665,34746.49577987793,17378.737480008353,38414.42082082938,47703.11895770672,17205.3548791077,277569.1042840687,71063.28359274718,17910.365266571782,25525.25636365965,84562.37433005308,14831.902622676098,75036.7478953027,17421.779313642797,17877.4885099382
5,220204.67265401778,14830.465746142265,69008.40807586347,29870.141764784483,35897.75052181373,22580.992321636422,41309.33306205259,48456.9742061024,17977.848849302234,290004.3897911736,71136.70685684176,18454.297996136997,26574.516360649883,86988.16988602177,16935.34268003916,76709.17402305208,18483.534847129282,19341.723950731503
6,232237.7635306571,17566.405410490966,77649.8605509178,32355.731437912193,36580.00514212269,26245.28960528792,43329.20516627572,49065.66210639086,18699.783981731438,301294.2617378308,72263.56145363383,19693.21662231435,27441.25082701644,87466.32475817997,16256.487878480342,82238.43207832886,19801.11787422267,20592.76516945315
7,241210.3741307068,21152.163482086795,81372.35910086927,36069.77959490194,39833.3860225658,30298.69614504107,45003.34859780158,52395.817897179026,20925.063950203876,309695.96228018665,75326.72806949531,21664.021886115504,30769.78996543369,87478.67845716965,17270.76014654774,93385.09657414108,22125.998323459924,22921.981535119823
8,249805.97942076012,25863.840335161745,88039.4027920527,40182.684668845446,43306.177837574396,33009.15297316419,48281.38224097046,57346.59321309411,24369.15700065273,314636.72720695124,80740.49768590505,23761.927313708733,33774.347133815696,88631.16967674826,19965.924280511557,103023.75942207745,24680.322551250963,25312.75605002967
9,252309.33859258032,30215.421146792618,95515.54819624039,43350.7268145061,45821.55977444029,33261.83176510789,50853.24903446885,60577.18963171596,28324.671316612366,317044.27868830494,84808.94837462039,25097.360128109245,37229.799289494775,90313.2428012161,21363.712553607544,110061.45974297106,27088.661688534245,25995.96038510158
10,255495.888743517,32276.040325499136,98093.31581680362,44877.52019749085,47127.96195971095,33092.22521189219,51839.48951716142,62432.14404530608,32162.75749008214,321938.79495991726,88511.76777422182,25781.52421966054,39061.04626863569,91747.25442784865,22393.462796684864,112652.21420036719,29427.367871311584,26060.671405278637
11,254959.56918047104,32669.690752515846,99779.02915169916,45223.50811127376,47443.98963241448,33127.06791424857,52590.67632846237,63146.2569230393,33880.68694151968,325451.9780786602,90444.08146683195,25811.39670644273,38723.53555106458,92210.20665001294,24601.157991002863,116380.49108134511,30212.84682790427,26063.725602281604
12,246912.16998378249,30635.25878951689,96511.37124737274,44518.0815030505,46490.69746193961,32482.74307354697,53340.40985092629,60976.79760974143,36388.19993288152,322480.31008827727,90075.46834993346,25212.354483141113,39874.178496189845,91660.52453064274,24615.74428997193,112357.27277275323,29845.632578786375,23204.848789207073
13,246892.44429315787,30946.551966668336,93677.82832536372,44066.958499956396,46791.672284982225,32673.21543250302,52729.00567176724,61916.325408273,35959.35437915025,321332.3962096925,90491.43723336405,25563.681452060824,39231.849837279864,90822.23745974197,24412.844268701618,112988.98448666725,29689.5928199456,24301.45730553552
14,249158.24656575124,33111.60353801204,97881.60960671765,43730.41926246791,47148.71003261563,33253.54125680821,52398.56072143065,62561.563807921986,33514.46823653238,321724.40035299514,92024.44856529623,25593.544131213977,36088.61447059199,90519.1345016021,24360.81118533658,110416.79045122897,29477.540774309655,24822.596532443207
15,247678.26964122703,33272.31905874954,99909.11786540004,42905.30678969601,46654.80154130089,33493.81033677676,52296.09307710454,61345.680708304855,31163.746830598553,320020.63129757287,91128.83856789923,25389.679320280386,33698.852732018844,89955.4917551126,24377.50490109255,109560.75362103975,29324.164027494222,24196.868287416775
16,242670.84956468776,32730.505257428307,99249.30991554995,41601.91792812058,45654.88831650517,34005.30759535587,51683.60101915594,58959.95397839242,30258.793168910976,315451.74694851314,89490.47367738513,24735.503993103383,33360.320032375894,89434.19914017602,24342.430612075415,108123.9025975867,28904.618368944026,23032.955125102202
17,236234.34369064614,31144.50736877864,98528.45002159584,39418.11763923725,44217.52573184988,33708.229651220594,51993.35606592194,56071.392576880055,30712.133157508044,309609.9216943754,86177.42711035283,24137.627523005463,34879.73017275954,88384.3987045082,25250.949980904385,106142.16479404936,28293.724873113137,21533.777406225734
18,231530.11052536409,28591.777004734966,96705.49470244616,37069.26528906986,42670.83385351843,32927.38414062029,52291.51234051169,54639.44793644414,31260.58060637805,304672.48339856113,84170.82000303276,22881.4662717029,37893.090830478846,86847.04228228521,23683.739056058148,100524.00182773174,27753.80171945333,20519.244312405768
19,226506.91790728932,23674.97240792124,87290.40972835397,35082.000173723114,40582.25676854791,31538.972212221874,51562.88671559421,54374.74996338161,31472.741135842592,300408.0720154756,82196.0850857068,21655.30712637419,40136.28530801419,84736.51961002772,22405.08224687213,96256.87629323125,26911.80068629768,19794.040924211182
20,219664.13033871673,17895.43944750555,72207.74407267757,33358.28909898541,38102.02672491356,28870.358259183533,50182.982694985505,54493.990713930245,31224.975686388923,292404.0719500099,79641.9294479549,20489.149288579494,39829.25755726076,81826.97178147445,20971.384262394455,88657.36642694913,24876.451851062444,19319.01759634374
21,214497.83951074912,15561.034330543722,63829.75510894416,32347.01397688193,36564.00939258173,26551.887507542633,49092.41288949682,54502.5782769853,29988.58277216179,284316.0563038227,77898.61259944603,19389.505541488405,38001.37278544508,79812.27861965248,20137.74564444704,84519.42707484002,23487.44141239368,18983.535426420574
22,214284.6305561934,14997.5006149108,61299.62770408677,32503.17039896046,37617.46069801137,25537.440283701373,48699.629691494665,56834.69509359842,27224.192600031554,282880.4891595368,77376.2559286402,18907.773394722768,39884.128936091496,79166.51714929737,21224.923191215927,83798.02540078656,21620.466093319745,19516.38605284463
23,213639.44420742488,14314.404952308874,59510.04857661589,32448.74517576305,36804.04507522767,24699.25539231508,43849.60715563226,55755.23787946443,23104.73842212488,280951.4593530023,76477.73451792572,18464.96667519141,34773.653971040694,78737.28525877537,21705.759813897534,81448.84887370582,20021.671088027608,19087.500628540587
