Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,201265.75297368693,17363.05752602499,49963.069830709064,44125.45346181823,40546.7135440694,26660.134199713382,33350.925586502846,51416.59746426988,20669.874924924952,268306.3933851984,79587.43144365419,25533.0752397031,35925.6753031189,70530.32274910418,29012.258051413795,83746.8578489383,29940.217919873412,18209.794532800122
1,200319.22226029876,17419.779414645916,51089.06305674775,43729.47480300926,40461.52030236653,22678.685119614674,33497.32291917571,50174.94850365543,20023.72630464016,269266.0773834206,79618.23227410468,25600.809868578075,34301.832324766314,71433.26387320501,27603.91544215428,83095.9558221161,29309.74450124258,18524.805160012253
2,200513.0517333066,17420.70707429712,51927.656545641534,43368.20754743965,40362.22109259935,20919.365069730968,33376.8247376633,49004.880128936646,19657.504770401592,271837.7218201469,79244.3996226053,25570.123778546036,33218.415039583626,73473.1021513267,27495.628219660513,82706.64293061533,28805.310777961204,18735.801181945873
3,201223.02738486542,17544.110137133383,52355.137428660615,42640.454532612355,40413.5353115024,20759.558209516028,33934.156109319054,47730.54323094767,19390.676709431536,271920.55854347465,79120.51779159407,25599.767489516587,32873.24837552548,75691.57397573855,27159.011907459542,82018.91630891904,28883.36933569847,18886.885789814027
4,203648.36400749593,18006.085961954548,56246.800529216816,42516.23263225436,41134.80337850894,23311.199298071377,36284.98595559252,46365.52212631864,19309.46612171927,277627.4761104759,78737.40426063545,25894.66298852364,32783.127707409425,78831.22513029263,27136.155850332096,82978.00103950035,28901.306377830646,19360.24941350495
5,214539.88963212073,19681.446855616035,66246.01425453094,44534.348208114505,42845.161457698036,30642.165567310967,38784.71519037153,46851.265314519515,20074.818144780922,290606.2221321721,79741.8282230704,26328.3928780601,33532.32236711871,81405.08818863308,28266.224484808667,85212.57213052835,30189.5131227296,20629.058371989617
6,226037.37863276564,22917.068952212237,77211.794465984,53065.2129287206,45458.12125690723,37287.63840679443,41887.520451965705,47982.32657371307,21547.39545653913,305210.5401498626,80990.04967285988,26711.651375571946,33226.88985208255,82769.33308349893,21524.520944592747,92556.74911322983,32492.784176875015,21088.440723331634
7,236409.13519320294,27384.188604656545,80529.752395287,63324.95906167206,50041.6907375623,44209.2929930656,43558.16092034759,51418.80862928446,24387.904523767756,311395.8507993504,85214.57017293878,28841.365022316877,36023.40570317432,83038.79188447347,22943.71030223868,105947.96915609358,33296.38928865224,24244.06023033135
8,245016.254850744,32702.293764339774,86737.05685014566,74475.9858783682,53928.92902412834,46897.48439265227,44370.89500321586,54567.85492737672,27260.065483259976,313603.7217038699,91008.90219250249,30365.04244973302,38461.852908869885,83495.5405140817,24262.419747987486,118035.54016797892,36306.54828410992,26608.229082783735
9,244967.46040111117,36152.02912563136,90964.92800998125,79756.09497653657,54605.36509388451,44794.06365729579,43002.35322531867,53282.35681567101,29900.12207553486,309893.7629242848,96063.21219040429,30276.94946487045,39890.60541153074,83322.67680262591,23357.54819712477,122774.68443551491,38153.2699019816,26179.05604834412
10,245996.45308606638,37484.39991621342,91099.71965349965,80334.87574953643,55061.395984621,42260.99305481197,41640.265322897074,55260.789738076506,32008.84778749971,312649.4110085512,99151.9989916331,30169.46655422633,40676.622434087316,83224.58073518504,24064.372804212533,121923.4328146146,39407.83220546678,25807.255017772222
11,244569.8813001062,37200.786427259445,91749.32834337148,78360.98112373792,54776.623008666174,41458.68288379954,41093.6312170223,60229.2745484601,33264.535394804676,314217.6961784674,98333.44664854089,30115.755126182416,39881.824964826184,83030.71270197857,26903.43385267321,123071.95981638816,39635.945527078984,25481.66705923019
