Hour Ending,Average Energy (kWh)
1,0.69
2,0.69
3,0.71
4,0.69
5,0.69
6,0.73
7,0.82
8,0.92
9,0.98
10,1
11,1
12,1
13,1
14,0.98
15,0.95
16,0.9
17,0.85
18,0.83
19,0.82
20,0.81
21,0.8
22,0.79
23,0.77
24,0.73
