,hour,total
0,0,0.42928366702193926
1,1,0.3892927350454057
2,2,0.3964055037372996
3,3,0.38738341327402864
4,4,0.39898624382254766
5,5,0.7000093622975919
6,6,1.187517024026327
7,7,1.7815482663080378
8,8,1.7528244410957354
9,9,1.7973264610685953
10,10,1.5368187777737912
11,11,1.401613340240139
12,12,1.2308440017729037
13,13,1.5114310424425041
14,14,1.58339792488952
15,15,1.1946087534726053
16,16,1.1019120013664208
17,17,1.0346869700103936
18,18,0.9284361035405264
19,19,0.8529652490833731
20,20,0.7209909602428305
21,21,0.6469888265815662
22,22,0.5496761374223919
23,23,0.48505279346352803
