,hour,total
0,0,0.9484068708479907
1,1,0.9257843952832898
2,2,0.9149728981306037
3,3,0.9142994595278169
4,4,0.9391046651916821
5,5,0.9615127152149345
6,6,0.9876910672855288
7,7,0.9966241430561597
8,8,1.019637744286561
9,9,1.021525043482984
10,10,1.0510945621360606
11,11,1.0587214730988517
12,12,1.064586569323784
13,13,1.0743667869147961
14,14,1.0663546566692867
15,15,1.066993900485049
16,16,1.0556980929793567
17,17,1.0387988322123913
18,18,1.0240991449816002
19,19,1.0012721377215945
20,20,0.9727368637575682
21,21,0.9688209547336646
22,22,0.9743773292702248
23,23,0.9525196934082225
