,hour,total
0,0,0.7346766684059823
1,1,0.6817487788392415
2,2,0.6737684217166567
3,3,0.7342577652676137
4,4,0.849302585972116
5,5,1.0211322624174288
6,6,1.1862259820342125
7,7,1.237496111004224
8,8,1.2403369612984452
9,9,1.2543371626420792
10,10,1.249941148813436
11,11,1.2274339120224895
12,12,1.2260756128030024
13,13,1.1983027024333963
14,14,1.118802578036821
15,15,1.0771233939709304
16,16,1.0199926795721799
17,17,0.9726796290009107
18,18,0.961910799688313
19,19,0.9312182661007029
20,20,0.9101491916405878
21,21,0.8880778081209892
22,22,0.8314570952866313
23,23,0.7735524829116095
