,hour,total
0,0,0.18167663648208154
1,1,0.17636411280554107
2,2,0.17351599554195488
3,3,0.19396177974506146
4,4,0.33401766110830666
5,5,0.6639836608311538
6,6,1.2759233026139116
7,7,1.7980161176240477
8,8,2.1089686578155438
9,9,2.273858322695233
10,10,2.437073924079494
11,11,2.2986692049411332
12,12,2.0836798064955193
13,13,2.316653222949702
14,14,1.7130604012608273
15,15,1.2525005179184936
16,16,0.8386312003765604
17,17,0.531840195842721
18,18,0.28753742207816607
19,19,0.21979600885744247
20,20,0.21288467017955146
21,21,0.2246258448100379
22,22,0.21072526256948265
23,23,0.19203607037803613
